us, ir
869, 852.8
869, 852.8
869, 852.8
869, 852.8
853, 852.8
853, 852.8
853, 852.8
853, 852.8
853, 852.8
834, 852.8
834, 852.8
834, 821.2480000000001
834, 821.2480000000001
834, 821.2480000000001
818, 821.2480000000001
818, 821.2480000000001
818, 821.2480000000001
818, 821.2480000000001
818, 821.2480000000001
800, 821.2480000000001
800, 821.2480000000001
800, 790.272
800, 790.272
800, 790.272
786, 790.272
786, 790.272
786, 790.272
786, 790.272
772, 790.272
772, 790.272
772, 790.272
772, 759.8720000000001
772, 759.8720000000001
757, 759.8720000000001
757, 759.8720000000001
757, 759.8720000000001
757, 759.8720000000001
757, 759.8720000000001
757, 759.8720000000001
757, 759.8720000000001
757, 744.8880000000001
757, 744.8880000000001
744, 744.8880000000001
744, 744.8880000000001
744, 744.8880000000001
744, 744.8880000000001
729, 744.8880000000001
729, 744.8880000000001
729, 744.8880000000001
729, 730.048
729, 730.048
722, 730.048
722, 730.048
722, 730.048
722, 730.048
710, 730.048
710, 730.048
710, 730.048
710, 715.3520000000001
710, 715.3520000000001
697, 715.3520000000001
697, 715.3520000000001
697, 715.3520000000001
697, 715.3520000000001
697, 715.3520000000001
689, 715.3520000000001
689, 715.3520000000001
689, 715.3520000000001
689, 686.392
679, 686.392
679, 686.392
679, 686.392
679, 686.392
670, 686.392
670, 686.392
670, 686.392
670, 686.392
670, 658.0080000000001
662, 658.0080000000001
662, 658.0080000000001
662, 658.0080000000001
662, 658.0080000000001
662, 658.0080000000001
651, 658.0080000000001
651, 658.0080000000001
651, 658.0080000000001
651, 658.0080000000001
651, 644.032
643, 644.032
643, 644.032
643, 644.032
643, 644.032
635, 644.032
635, 644.032
635, 644.032
635, 644.032
635, 630.2
626, 630.2
626, 630.2
626, 630.2
626, 630.2
618, 630.2
618, 630.2
618, 630.2
618, 630.2
605, 616.512
605, 616.512
605, 616.512
605, 616.512
605, 616.512
598, 616.512
598, 616.512
598, 616.512
598, 616.512
595, 616.512
595, 602.9680000000001
595, 602.9680000000001
595, 602.9680000000001
582, 602.9680000000001
582, 602.9680000000001
582, 602.9680000000001
582, 602.9680000000001
582, 602.9680000000001
576, 602.9680000000001
576, 576.312
576, 576.312
576, 576.312
569, 576.312
569, 576.312
569, 576.312
569, 576.312
561, 576.312
561, 576.312
561, 576.312
561, 576.312
561, 576.312
555, 576.312
555, 576.312
555, 576.312
555, 576.312
546, 576.312
546, 576.312
546, 550.232
546, 550.232
535, 550.232
535, 550.232
535, 550.232
535, 550.232
535, 550.232
532, 550.232
532, 550.232
532, 550.232
532, 537.408
525, 537.408
525, 537.408
525, 537.408
525, 537.408
525, 537.408
517, 537.408
517, 537.408
517, 537.408
517, 524.728
509, 524.728
509, 524.728
509, 524.728
509, 524.728
500, 524.728
500, 524.728
500, 524.728
500, 524.728
500, 524.728
491, 499.8
491, 499.8
491, 499.8
491, 499.8
483, 499.8
483, 499.8
483, 499.8
483, 499.8
483, 499.8
474, 487.5520000000001
474, 487.5520000000001
474, 487.5520000000001
474, 487.5520000000001
471, 487.5520000000001
471, 487.5520000000001
471, 487.5520000000001
471, 487.5520000000001
471, 487.5520000000001
462, 475.448
462, 475.448
462, 475.448
454, 475.448
454, 475.448
454, 475.448
454, 475.448
446, 475.448
446, 475.448
446, 451.672
446, 451.672
433, 451.672
433, 451.672
433, 451.672
433, 451.672
420, 451.672
420, 451.672
420, 451.672
420, 451.672
411, 428.472
411, 428.472
411, 428.472
411, 428.472
411, 428.472
404, 428.472
404, 428.472
404, 428.472
404, 428.472
392, 405.848
392, 405.848
392, 405.848
392, 405.848
385, 405.848
385, 405.848
385, 405.848
385, 405.848
374, 405.848
374, 383.8
374, 383.8
374, 383.8
374, 383.8
364, 383.8
364, 383.8
364, 383.8
364, 383.8
353, 383.8
353, 383.8
353, 362.328
353, 362.328
353, 362.328
340, 362.328
340, 362.328
340, 362.328
340, 362.328
334, 362.328
334, 362.328
334, 331.2
334, 331.2
321, 331.2
321, 331.2
321, 331.2
321, 331.2
321, 331.2
321, 331.2
321, 331.2
321, 311.168
304, 311.168
304, 311.168
304, 311.168
304, 311.168
296, 311.168
296, 311.168
296, 311.168
286, 311.168
286, 291.712
286, 291.712
286, 291.712
278, 291.712
278, 291.712
278, 291.712
278, 291.712
278, 291.712
267, 291.712
267, 272.832
267, 272.832
259, 272.832
259, 272.832
259, 272.832
259, 272.832
259, 272.832
255, 272.832
255, 272.832
255, 272.832
255, 245.592
247, 245.592
247, 245.592
247, 245.592
247, 245.592
241, 245.592
241, 245.592
241, 245.592
241, 245.592
233, 245.592
233, 228.152
233, 228.152
233, 228.152
220, 228.152
220, 228.152
220, 228.152
220, 228.152
217, 228.152
217, 228.152
217, 211.288
217, 211.288
211, 211.288
211, 211.288
211, 211.288
211, 211.288
211, 211.288
205, 211.288
205, 211.288
205, 195.0
199, 195.0
199, 195.0
199, 195.0
199, 195.0
190, 195.0
190, 195.0
190, 195.0
190, 195.0
190, 187.072
190, 187.072
190, 187.072
185, 187.072
185, 187.072
185, 187.072
185, 187.072
181, 187.072
181, 187.072
181, 171.648
181, 171.648
181, 171.648
175, 171.648
175, 171.648
175, 171.648
170, 171.648
170, 171.648
170, 171.648
170, 156.8
166, 156.8
166, 156.8
166, 156.8
162, 156.8
162, 156.8
162, 156.8
162, 156.8
156, 156.8
156, 149.592
156, 149.592
156, 149.592
147, 149.592
147, 149.592
147, 149.592
147, 149.592
143, 149.592
143, 149.592
143, 135.608
143, 135.608
143, 135.608
139, 135.608
139, 135.608
139, 135.608
139, 135.608
135, 135.608
135, 135.608
135, 135.608
135, 128.832
130, 128.832
130, 128.832
130, 128.832
130, 128.832
126, 128.832
126, 128.832
126, 128.832
126, 128.832
121, 115.712
121, 115.712
121, 115.712
121, 115.712
120, 115.712
120, 115.712
120, 115.712
120, 115.712
113, 115.712
113, 109.368
113, 109.368
113, 109.368
112, 109.368
112, 109.368
112, 109.368
112, 109.368
107, 109.368
107, 109.368
107, 109.368
107, 97.11200000000002
103, 97.11200000000002
103, 97.11200000000002
103, 97.11200000000002
103, 97.11200000000002
101, 97.11200000000002
101, 97.11200000000002
101, 97.11200000000002
94, 97.11200000000002
94, 97.11200000000002
94, 91.20000000000001
94, 91.20000000000001
94, 91.20000000000001
91, 91.20000000000001
91, 91.20000000000001
91, 91.20000000000001
86, 91.20000000000001
86, 91.20000000000001
86, 79.80799999999999
86, 79.80799999999999
84, 79.80799999999999
84, 79.80799999999999
84, 79.80799999999999
82, 79.80799999999999
82, 79.80799999999999
82, 79.80799999999999
82, 79.80799999999999
78, 79.80799999999999
78, 68.992
78, 68.992
78, 68.992
76, 68.992
76, 68.992
76, 68.992
76, 68.992
74, 68.992
74, 68.992
74, 68.992
74, 63.8
72, 63.8
72, 63.8
72, 63.8
72, 63.8
67, 63.8
67, 63.8
67, 63.8
67, 63.8
65, 58.752
65, 58.752
65, 58.752
63, 58.752
63, 58.752
63, 58.752
63, 58.752
58, 58.752
58, 58.752
58, 53.848
58, 53.848
59, 53.848
59, 53.848
59, 53.848
59, 53.848
57, 53.848
57, 53.848
57, 53.848
57, 53.848
57, 53.848
57, 53.848
57, 53.848
57, 53.848
55, 53.848
55, 53.848
55, 53.848
55, 53.848
50, 53.848
50, 49.088
50, 49.088
50, 49.088
50, 49.088
51, 49.088
51, 49.088
51, 49.088
49, 49.088
49, 49.088
49, 49.088
49, 49.088
49, 44.472
46, 44.472
46, 44.472
44, 44.472
44, 44.472
44, 44.472
44, 44.472
40, 44.472
40, 40.0
40, 40.0
40, 40.0
40, 40.0
40, 40.0
40, 40.0
38, 40.0
38, 40.0
38, 40.0
36, 40.0
36, 40.0
36, 40.0
36, 40.0
36, 40.0
36, 40.0
36, 40.0
31, 40.0
31, 40.0
31, 40.0
31, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
32, 40.0
31, 40.0
31, 40.0
31, 40.0
31, 40.0
31, 40.0
31, 40.0
31, 40.0
36, 40.0
36, 40.0
36, 40.0
36, 40.0
38, 40.0
38, 40.0
38, 40.0
40, 40.0
40, 40.0
40, 40.0
40, 40.0
40, 40.0
40, 40.0
